added-users-list.tally; Total users added {0};Antal brugere tilføjet {0}; {alfresco/site-webscripts/org/alfresco/components/invite/added-users-list.get.properties}added-users-list.tally;;;
added-users-list.tally; Total users added {0};Antal brugere tilføjet {0}; {alfresco/site-webscripts/org/alfresco/components/invite/invitationlist.get.properties}added-users-list.tally;;;
added-users-list.title; Add Users to Site;Tilføj brugere til Site; {alfresco/site-webscripts/org/alfresco/components/invite/added-users-list.get.properties}added-users-list.title;;;
addemail.add; Add; Tilf\u00f8j; {alfresco/site-webscripts/org/alfresco/components/invite/addemail.get.properties}addemail.add;;;
addemail.email; Email; E-mail; {alfresco/site-webscripts/org/alfresco/components/invite/addemail.get.properties}addemail.email;;;
addemail.firstname; First Name; Fornavn; {alfresco/site-webscripts/org/alfresco/components/invite/addemail.get.properties}addemail.firstname;;;
addemail.lastname; Last Name; Efternavn; {alfresco/site-webscripts/org/alfresco/components/invite/addemail.get.properties}addemail.lastname;;;
addemail.mandatoryfieldsmissing; All fields must be completed; Alle felter skal udfyldes; {alfresco/site-webscripts/org/alfresco/components/invite/addemail.get.properties}addemail.mandatoryfieldsmissing;;;
addemail.title; ...Add External Users; ...Tilf\u00f8j eksterne brugere; {alfresco/site-webscripts/org/alfresco/components/invite/addemail.get.properties}addemail.title;;;
agenda.action.delete.lable; Delete event; Slet begivenhed; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.action.delete.lable;;;
agenda.action.delete.tooltip; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.action.delete.tooltip;;;
agenda.action.edit.label; Edit event; Rediger begivenhed; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.action.edit.label;;;
agenda.action.edit.tooltip; Edit; Rediger; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.action.edit.tooltip;;;
agenda.action.info.label; Event info; Begivenhedsinformation; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.action.info.label;;;
agenda.action.info.tooltip; View; Vis; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.action.info.tooltip;;;
agenda.add-events; {0}Add an event{1} to this calendar.; {0}Tilf\u00f8j en begivenhed{1} til denne kalender.; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.add-events;;;
agenda.initial-text; Loading events...; Henter begivenheder...; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.initial-text;;;
agenda.next; Show Later Events; Vis senere begivenheder; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.next;;;
agenda.no-events; There are no events for this period.; Der er ingen begivenheder i denne periode; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.no-events;;;
agenda.previous; Show Earlier Events; Vis tidligere begivenheder; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.previous;;;
agenda.truncate.ellipsis; &hellip;; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.truncate.ellipsis;; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.truncate.ellipsis;
agenda.truncate.show-less; show less; vis mindre; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.truncate.show-less;;;
agenda.truncate.show-more; show more; vis mere; {alfresco/site-webscripts/org/alfresco/components/calendar/view.get.properties}agenda.truncate.show-more;;;
alt.delete; Delete; Slet; {alfresco/site-webscripts/org/alfresco/components/dashboard/customise-dashlets.get.properties}alt.delete;;;
approval-step.header; Approval Step; Godkendelsestrin; {alfresco/site-webscripts/org/alfresco/modules/rules/actions/workflow.get.properties}approval-step.header;;;
approval-step.label.default; Approve; Godkend; {alfresco/site-webscripts/org/alfresco/modules/rules/actions/workflow.get.properties}approval-step.label.default;;;
aspect.app_inlineeditable; Inline Editable; Indlejret redigerbar; {alfresco/messages/slingshot.properties}aspect.app_inlineeditable;;;
aspect.audio_audio; Audio; Lyd; {alfresco/messages/slingshot.properties}aspect.audio_audio;;;
aspect.cm_complianceable; Complianceable; Compliance mulig; {alfresco/messages/slingshot.properties}aspect.cm_complianceable;;;
aspect.cm_dublincore; Dublin Core; Dublin Kerne; {alfresco/messages/slingshot.properties}aspect.cm_dublincore;;;
aspect.cm_effectivity; Effectivity; Effektivitet; {alfresco/messages/slingshot.properties}aspect.cm_effectivity;;;
aspect.cm_emailed; Emailed; E-mailet; {alfresco/messages/slingshot.properties}aspect.cm_emailed;;;
aspect.cm_generalclassifiable; Classifiable; Klassificering; {alfresco/messages/slingshot.properties}aspect.cm_generalclassifiable;;;
aspect.cm_geographic; Geographic; Geografisk; {alfresco/messages/slingshot.properties}aspect.cm_geographic;;;
aspect.cm_indexControl; Index Control; Indekskontrol; {alfresco/messages/slingshot.properties}aspect.cm_indexControl;;;
aspect.cm_summarizable; Summarizable; Opsummerbar; {alfresco/messages/slingshot.properties}aspect.cm_summarizable;;;
aspect.cm_taggable; Taggable; Kan tagges; {alfresco/messages/slingshot.properties}aspect.cm_taggable;;;
aspect.cm_templatable; Templatable; Skabelonbar; {alfresco/messages/slingshot.properties}aspect.cm_templatable;;;
aspect.cm_versionable; Versionable; Versioneret; {alfresco/messages/slingshot.properties}aspect.cm_versionable;;;
aspect.dp_restrictable; Restrictable; Begr\u00e6nset; {alfresco/messages/slingshot.properties}aspect.dp_restrictable;;;
aspect.emailserver_aliasable; Email Alias; Alias mulig (E-mail); {alfresco/messages/slingshot.properties}aspect.emailserver_aliasable;;;
aspect.exif_camera; Camera Details;Kameradetaljer; {alfresco/messages/slingshot.properties}aspect.exif_camera;;;
aspect.exif_exif; EXIF; EXIF; {alfresco/messages/slingshot.properties}aspect.exif_exif;;;
aspect.exif_resolution; Resolution;Opløsning; {alfresco/messages/slingshot.properties}aspect.exif_resolution;;;
aspect.smf_customConfigSmartFolder; Custom Smart Folder; ; {alfresco/messages/smartfolder.properties}aspect.smf_customConfigSmartFolder;;;
aspect.smf_smartFolder; Smart Folder; ; {alfresco/messages/smartfolder.properties}aspect.smf_smartFolder;;;
aspect.smf_smartFolderChild; Smart Folder Child; ; {alfresco/messages/smartfolder.properties}aspect.smf_smartFolderChild;;;
aspect.smf_systemConfigSmartFolder; System Smart Folder; ; {alfresco/messages/smartfolder.properties}aspect.smf_systemConfigSmartFolder;;;
atom.title.site; Alfresco Activities Site Feed for {0}; Alfresco aktivitet site feed for {0}; {alfresco/site-webscripts/org/alfresco/components/dashlets/activity-list.get.properties}atom.title.site;;;
atom.title.user; Alfresco Activities User Feed for {0}; Alfresco aktivitet bruger feed for {0}; {alfresco/site-webscripts/org/alfresco/components/dashlets/activity-list.get.properties}atom.title.user;;;
authority.field.NumberOfGroups; Number of Groups; Antal grupper; {alfresco/messages/slingshot.properties}authority.field.NumberOfGroups;;;
authority.field.NumberOfUsers; Number of Users; Antal brugere; {alfresco/messages/slingshot.properties}authority.field.NumberOfUsers;;;
banner.editing; This document is locked by you for offline editing.; Dette dokument er l\u00e5st af dig for offlineredigering.; {alfresco/site-webscripts/org/alfresco/components/node-details/node-header.get.properties}banner.editing;;;
banner.editing; This document is locked by you for offline editing.; Dette dokument er l\u00e5st af dig for offlineredigering.; {alfresco/site-webscripts/org/alfresco/components/document-details/path.get.properties}banner.editing;;;
banner.editing; This document is locked by you for offline editing.; Dette dokument er l\u00e5st af dig for offlineredigering.; {alfresco/site-webscripts/org/alfresco/components/document-details/repo-path.get.properties}banner.editing;;;
banner.lock-owner; This document is locked by you.; Dette dokument er l\u00e5st af dig.; {alfresco/site-webscripts/org/alfresco/components/node-details/node-header.get.properties}banner.lock-owner;;;
banner.lock-owner; This document is locked by you.; Dette dokument er l\u00e5st af dig.; {alfresco/site-webscripts/org/alfresco/components/document-details/path.get.properties}banner.lock-owner;;;
banner.lock-owner; This document is locked by you.; Dette dokument er l\u00e5st af dig.; {alfresco/site-webscripts/org/alfresco/components/document-details/repo-path.get.properties}banner.lock-owner;;;
banner.locked; This document is locked by {0}.; Dette dokument er l\u00e5st af {0}.; {alfresco/site-webscripts/org/alfresco/components/node-details/node-header.get.properties}banner.locked;;;
banner.locked; This document is locked by {0}.; Dette dokument er l\u00e5st af {0}.; {alfresco/site-webscripts/org/alfresco/components/document-details/path.get.properties}banner.locked;;;
banner.locked; This document is locked by {0}.; Dette dokument er l\u00e5st af {0}.; {alfresco/site-webscripts/org/alfresco/components/document-details/repo-path.get.properties}banner.locked;;;
banner.not-found; The item cannot be found. Either you do not have permissions to view the item, it has been removed o; Posten kan ikke findes. Enten har du ikke rettigheder til at se posten, den er fjernet eller har ald; {alfresco/site-webscripts/org/alfresco/components/node-details/node-header.get.properties}banner.not-found;;;
become_site_manager.label; Become Site Manager; Bliv siteadministrator; {alfresco/site-webscripts/org/alfresco/share/imports/share-header.lib.properties}become_site_manager.label;;;
button.add-event; Add Event; Tilf\u00f8j begivenhed; {alfresco/site-webscripts/org/alfresco/components/calendar/toolbar.get.properties}button.add-event;;;
button.add-groups; Add Groups; Tilf\u00f8j grupper; {alfresco/site-webscripts/org/alfresco/components/invite/groupslist.get.properties}button.add-groups;;;
button.addComment; Add Comment; Tilf\u00f8j kommentar; {alfresco/site-webscripts/org/alfresco/components/comments/comments-list.get.properties}button.addComment;;;
button.addDashlets; Add Dashlets; Tilf\u00f8j instrumenter; {alfresco/site-webscripts/org/alfresco/components/dashboard/customise-dashlets.get.properties}button.addDashlets;;;
button.addUser; Add User; Tilf\u00f8j bruger; {alfresco/site-webscripts/org/alfresco/components/manage-permissions/manage-permissions.get.properties}button.addUser;;;
button.addUserGroup; Add User/Group; Tilf\u00f8j bruger/gruppe; {alfresco/site-webscripts/org/alfresco/components/manage-permissions/manage-permissions.get.properties}button.addUserGroup;;;
button.addgroup; Add Group; Tilf\u00f8j gruppe; {alfresco/site-webscripts/org/alfresco/components/console/usersgroups/groups.get.properties}button.addgroup;;;
